Title,Tags
「大和名所」  「春日神社」「若草山」,"{'entities': [(1, 3, 'GPE'), (9, 13, 'GPE'), (15, 18, 'LOC')]}"
「府県名所図会」  「兵庫県」「神戸布引滝」「県庁之位地　八部郡神戸」,"{'entities': [(11, 14, 'GPE'), (16, 21, 'GPE'), (29, 34, 'GPE')]}"
 「神田御社眺望」,"{'entities': [(2, 6, 'GPE')]}"
 「大阪名所」  「桜乃宮より造幣局を望む」「天神橋之図」「造幣局」,"{'entities': [(2, 4, 'GPE'), (10, 13, 'GPE'), (23, 26, 'GPE'), (30, 33, 'GPE')]}"
 「東海道之内」  「関」,"{'entities': [(2, 5, 'LOC')]}"
「観音霊験記」  「秩父順礼廿九番」「笹の戸　見目山　長泉院」,"{'entities': [(19, 30, 'GPE')]}"
［東京三井組ハウス］,"{'entities': [(1, 9, 'GPE')]}"
「東京名所　浅草観音之図」,"{'entities': [(1, 3, 'GPE'), (6, 10, 'GPE')]}"
 「名所江戸百景」  「鎧の渡し　小網町」,"{'entities': [(4, 6, 'GPE'), (16, 20, 'GPE')]}"
「諸国滝廻リ」  「木曽海道　小野ノ瀑布」,"{'entities': [(10, 14, 'LOC')]}"
「五十三次名所図会」「丗二」  「あら井　渡舟着岸御関所」,"{'entities': [(17, 20, 'GPE')]}"
「五十三次名所図会　四十」「池鯉鮒　八ツ橋むら　杜若の古せき」,"{'entities': [(14, 23, 'GPE')]}"
「五十三次名所図会」「丗八」  「藤川　山中の里別名宮路山」,"{'entities': [(17, 19, 'GPE'), (20, 24, 'GPE'), (26, 29, 'LOC')]}"
「川崎」  「神奈川へ二リ半」,"{'entities': [(1, 3, 'LOC'), (7, 10, 'GPE')]}"
「江都名所」  「洲崎しほ干狩」,"{'entities': [(1, 3, 'GPE'), (9, 11, 'GPE')]}"
「諸国名橋奇覧」  「摂州安治川口天保山」,"{'entities': [(11, 20, 'LOC')]}"
「東都名所」  「永代橋深川新地」,"{'entities': [(1, 3, 'GPE'), (9, 16, 'GPE')]}"
「五十三次名所図会」「一」  「日本橋　東雲の景,"{'entities': [(17, 20, 'GPE')]}"
「五十三次名所図会」「六」  「戸塚山道より不二眺望」,"{'entities': [(16, 20, 'LOC'), (22, 24, 'LOC')]}"
「富士三十六景」  「東都佃沖」,"{'entities': [(1, 3, 'LOC'), (11, 14, 'GPE')]}"
「江戸名所之内」  「真乳山」,"{'entities': [(1, 3, 'GPE'), (11, 14, 'LOC')]}"
「名所江戸百景」  「千住の大はし」,"{'entities': [(3, 5, 'GPE'), (11, 17, 'GPE')]}"
「諸国名所百景」  「遠州秋葉遠景袋井凧」,"{'entities': [(13, 15, 'GPE'), (17, 19, 'GPE')]}"
